================================================================================
IPv4 Conversations
Filter:<No Filter>
                                               |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                               | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.0.5          <-> 146.75.121.91            462 555 kB        154 32 kB         616 588 kB       14,814837000        62,0752
192.168.0.5          <-> 31.184.213.19             90 13 kB          89 8183 bytes     179 21 kB        22,275057000       134,0318
192.168.0.5          <-> 149.154.167.41            86 47 kB          66 13 kB         152 60 kB         5,368531000       136,3404
91.105.192.100       <-> 192.168.0.5               64 10 kB          56 6058 bytes     120 16 kB         8,131497000       150,4494
192.168.0.5          <-> 213.180.193.234           39 3925 bytes      38 12 kB          77 16 kB         5,879227000       141,5684
192.168.0.1          <-> 239.255.255.250            0 0 bytes        40 14 kB          40 14 kB        49,552137000        66,6806
192.168.0.5          <-> 192.168.0.1               19 3188 bytes      20 1794 bytes      39 4982 bytes    13,358641000       142,8661
192.168.0.5          <-> 5.255.255.77              18 6031 bytes      15 2357 bytes      33 8388 bytes    38,657114000       105,1533
192.168.0.5          <-> 2.16.21.19                19 2448 bytes      14 3596 bytes      33 6044 bytes    78,890269000        45,8390
192.168.0.6          <-> 255.255.255.255            0 0 bytes        32 7872 bytes      32 7872 bytes     0,000000000       155,0360
192.168.0.5          <-> 87.250.251.183            13 1940 bytes      12 5702 bytes      25 7642 bytes    43,210900000       106,7729
192.168.0.5          <-> 20.50.88.245              11 5731 bytes      11 2143 bytes      22 7874 bytes    20,237395000       135,1231
192.168.0.5          <-> 40.74.98.193              10 5755 bytes      12 3749 bytes      22 9504 bytes   128,698802000         2,3211
192.168.0.5          <-> 213.180.204.179            6 606 bytes       6 327 bytes      12 933 bytes    14,657593000       135,0403
142.4.216.103        <-> 192.168.0.5                6 386 bytes       6 386 bytes      12 772 bytes    20,785292000       133,0840
192.168.0.5          <-> 239.255.255.250            0 0 bytes         9 1726 bytes       9 1726 bytes    26,044409000       123,0375
192.168.0.5          <-> 64.233.162.188             4 264 bytes       4 220 bytes       8 484 bytes    11,799863000       135,0710
192.168.0.5          <-> 152.199.19.160             5 363 bytes       3 163 bytes       8 526 bytes    35,443211000        44,9749
192.168.0.5          <-> 77.88.55.60                4 291 bytes       3 163 bytes       7 454 bytes     8,658465000         4,2594
192.168.0.4          <-> 224.0.0.251                0 0 bytes         7 721 bytes       7 721 bytes    10,342301000       120,0112
4.209.164.61         <-> 192.168.0.5                2 108 bytes       4 293 bytes       6 401 bytes   105,346949000         0,0655
192.168.0.4          <-> 239.255.255.250            0 0 bytes         3 501 bytes       3 501 bytes    10,080036000       119,9932
192.168.0.1          <-> 224.0.0.1                  0 0 bytes         1 46 bytes        1 46 bytes     55,191306000         0,0000
192.168.0.5          <-> 224.0.0.251                0 0 bytes         1 46 bytes        1 46 bytes     58,949713000         0,0000
192.168.0.5          <-> 224.0.0.252                0 0 bytes         1 46 bytes        1 46 bytes     60,445738000         0,0000
================================================================================
