================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.0.5:58696          <-> 149.154.167.41:443              86 47 kB          66 13 kB         152 60 kB         5,368531000       136,3404
192.168.0.5:61063          <-> 31.184.213.19:443               33 6665 bytes      31 3019 bytes      64 9684 bytes    36,217097000       120,0898
192.168.0.5:61064          <-> 31.184.213.19:443               27 3420 bytes      31 3258 bytes      58 6678 bytes    40,271049000       116,0242
192.168.0.5:61084          <-> 213.180.193.234:443             24 2935 bytes      23 11 kB          47 14 kB        13,359061000       134,0885
192.168.0.5:61237          <-> 2.16.21.19:443                  19 2448 bytes      14 3596 bytes      33 6044 bytes    78,890269000        45,8390
91.105.192.100:80          <-> 192.168.0.5:50282               12 3257 bytes      19 2736 bytes      31 5993 bytes     8,131497000       150,4494
192.168.0.5:61065          <-> 31.184.213.19:443               14 1344 bytes      12 1092 bytes      26 2436 bytes    40,286401000       116,0089
192.168.0.5:61149          <-> 31.184.213.19:443               13 1798 bytes      12 649 bytes      25 2447 bytes    22,275057000       120,0200
192.168.0.5:61230          <-> 87.250.251.183:443              13 1940 bytes      12 5702 bytes      25 7642 bytes    43,210900000       106,7729
192.168.0.5:61228          <-> 20.50.88.245:443                11 5731 bytes      11 2143 bytes      22 7874 bytes    20,237395000       135,1231
192.168.0.5:61241          <-> 40.74.98.193:443                10 5755 bytes      12 3749 bytes      22 9504 bytes   128,698802000         2,3211
192.168.0.5:61229          <-> 5.255.255.77:443                 9 896 bytes       8 1357 bytes      17 2253 bytes    38,657114000        60,0614
192.168.0.5:61238          <-> 5.255.255.77:443                 9 5135 bytes       7 1000 bytes      16 6135 bytes    98,700791000        45,1096
192.168.0.5:49323          <-> 213.180.204.179:443              6 606 bytes       6 327 bytes      12 933 bytes    14,657593000       135,0403
192.168.0.5:61231          <-> 91.105.192.100:443               4 504 bytes       6 971 bytes      10 1475 bytes    55,537877000        10,1611
192.168.0.5:61233          <-> 91.105.192.100:443               4 524 bytes       6 903 bytes      10 1427 bytes    67,301175000        10,1664
192.168.0.5:61234          <-> 91.105.192.100:443               4 520 bytes       6 1015 bytes      10 1535 bytes    67,301175000        10,1885
192.168.0.5:61239          <-> 91.105.192.100:443               4 562 bytes       6 975 bytes      10 1537 bytes   110,851258000        10,1977
192.168.0.5:61240          <-> 91.105.192.100:80                4 240 bytes       5 781 bytes       9 1021 bytes   110,852316000         0,1981
192.168.0.5:61101          <-> 213.180.193.234:443              4 264 bytes       4 220 bytes       8 484 bytes     5,879227000       135,1108
192.168.0.5:61098          <-> 213.180.193.234:443              4 264 bytes       4 220 bytes       8 484 bytes     6,684543000       135,1074
192.168.0.5:61193          <-> 213.180.193.234:443              4 264 bytes       4 220 bytes       8 484 bytes     7,350157000       135,1051
192.168.0.5:60663          <-> 64.233.162.188:5228              4 264 bytes       4 220 bytes       8 484 bytes    11,799863000       135,0710
192.168.0.5:61187          <-> 152.199.19.160:443               5 363 bytes       3 163 bytes       8 526 bytes    35,443211000        44,9749
192.168.0.5:61232          <-> 91.105.192.100:80                3 180 bytes       5 685 bytes       8 865 bytes    55,538984000         0,0945
192.168.0.5:61235          <-> 91.105.192.100:80                3 180 bytes       5 693 bytes       8 873 bytes    67,302495000         0,1075
192.168.0.5:61236          <-> 91.105.192.100:80                3 180 bytes       5 769 bytes       8 949 bytes    67,302562000         0,0995
192.168.0.5:61194          <-> 77.88.55.60:443                  4 291 bytes       3 163 bytes       7 454 bytes     8,658465000         4,2594
142.4.216.103:443          <-> 192.168.0.5:61201                3 193 bytes       3 193 bytes       6 386 bytes    20,785292000       133,0816
142.4.216.103:443          <-> 192.168.0.5:61198                3 193 bytes       3 193 bytes       6 386 bytes    20,853736000       133,0156
192.168.0.5:61138          <-> 31.184.213.19:443                3 198 bytes       3 165 bytes       6 363 bytes    26,685582000        90,0571
192.168.0.5:61188          <-> 213.180.193.234:443              3 198 bytes       3 165 bytes       6 363 bytes    37,080448000        90,0601
4.209.164.61:443           <-> 192.168.0.5:61195                2 108 bytes       4 293 bytes       6 401 bytes   105,346949000         0,0655
91.105.192.100:443         <-> 192.168.0.5:61170                2 108 bytes       2 108 bytes       4 216 bytes    55,536666000         0,0305
91.105.192.100:443         <-> 192.168.0.5:61190                2 108 bytes       2 108 bytes       4 216 bytes    67,300106000         0,0290
91.105.192.100:443         <-> 192.168.0.5:61189                2 108 bytes       2 108 bytes       4 216 bytes    67,300106000         0,0290
91.105.192.100:443         <-> 192.168.0.5:61214                2 108 bytes       2 108 bytes       4 216 bytes   110,849289000         0,0360
================================================================================
